cms_team_id,cms_league_id,cms_team_name,polymarket_team_id,polymarket_league_id,polymarket_team_name,polymarket_team_slug,status,notes
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148363,13,Juventus FC,juv1,unmapped,same club as SEA team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148365,13,KAA Gent,gen1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148813,13,KF Egnatia Rrogozhinë,egn1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148557,13,KF Shkëndija 79,shk2,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148367,13,KF Skënderbeu Korçë,ske1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148666,13,KF Teuta Durrës,dur1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148709,13,KF Tirana,tir1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148673,13,KF Valur,val6,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148560,13,KF Víkingur,vik2,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148369,13,KKS Lech Poznań,lep1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148562,13,KR Reykjavík,krr1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148675,13,KRC Genk,gnk1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148735,13,Kuopion PS,kps1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148711,13,KÍ,ki1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148805,13,Larne FC,lar1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148741,13,LASK Linz,lin5,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148564,13,Legia Warszawa,leg1,unmapped,
